restaurant_names,restaurant_locations,costs_for_2,cusisines,ratings,restaurant_imgs,restaurant_pages
Soul Pantry,"Andaz Delhi, Aerocity",₹ 2000,"Healthy Food,Pizza",4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F662640%2Frestaurant520220428053015.jpg,https://www.eazydiner.com/delhi-ncr/soul-pantry-andaz-delhi-aerocity-662640?deal_types[]=postpaid
Veranda,"Park Plaza, Faridabad",₹ 2200,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111748%2F0.jpg,https://www.eazydiner.com/delhi-ncr/veranda-park-plaza-sector-21-faridabad-111748?deal_types[]=postpaid
Doodle's Garden,"Punjabi Bagh, West Delhi",₹ 1200,Multicuisine,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F663304%2Frestaurant020190531110119.jpg,https://www.eazydiner.com/delhi-ncr/doodles-garden-punjabi-bagh-west-delhi-663304?deal_types[]=postpaid
Jalsa,"Galleria Market, Gurgaon",₹ 1200,"Chinese,Indian",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672206%2Frestaurant420201214104256.jpeg,https://www.eazydiner.com/delhi-ncr/jalsa-galleria-market-gurgaon-672206?deal_types[]=postpaid
Ambrosia,"The Golden Palms Hotel, New Delhi",₹ 1500,Multicuisine,3.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F662898%2Frestaurant220190430111137.jpg,https://www.eazydiner.com/delhi-ncr/ambrosia-the-golden-palms-hotel-new-delhi-662898?deal_types[]=postpaid
Ching Singh,"Logix City Centre Mall, Noida",₹ 1200,"Chinese,Indian,Multicuisine,Pan Asian",4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F643613%2Frestaurant320200210132346.jpg,https://www.eazydiner.com/delhi-ncr/ching-shihh-sector-34-noida-643613?deal_types[]=postpaid
Cafe 55,"Park Inn, Gurgaon",₹ 1200,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F116750%2Frestaurant020220222100428.jpg,https://www.eazydiner.com/delhi-ncr/cafe-55-park-inn-sohna-road-116750?deal_types[]=postpaid
Dasaprakash,"Spice World Mall, Noida",₹ 800,South Indian,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673628%2Frestaurant320210715074037.jpg,https://www.eazydiner.com/delhi-ncr/dasaprakash-sector-25-noida-673628?deal_types[]=postpaid
My Tea Chapel,"DLF South Point Mall, Golf Course Road",₹ 595,"Cafe,Coffee and Tea",4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672176%2Frestaurant020201208064611.jpeg,https://www.eazydiner.com/delhi-ncr/my-tea-chapel-dlf-south-point-mall-golf-course-road-672176?deal_types[]=postpaid
Khawesome Cafe,"Janakpuri, West Delhi",₹ 800,Multicuisine,4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672916%2Frestaurant020210203113851.jpg,https://www.eazydiner.com/delhi-ncr/khawesome-cafe-janakpuri-west-delhi-672916?deal_types[]=postpaid
