restaurant_names,restaurant_locations,costs_for_2,cusisines,ratings,restaurant_imgs,restaurant_pages
India Grill,"Hilton Garden Inn, Saket",₹ 2400,"Indian,Italian,oriental",3.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110939%2Frestaurant320170210100927.jpg,https://www.eazydiner.com/delhi-ncr/india-grill-hilton-garden-inn-saket-110939?deal_types[]=postpaid
Coast Cafe,"Hauz Khas Village, South Delhi",₹ 1600,"Casual Eclectic,Indian Coastal Cuisine",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110488%2Frestaurant220170310103149.jpg,https://www.eazydiner.com/delhi-ncr/coast-cafe-hauz-khas-village-110488?deal_types[]=postpaid
Poker Face,"Sector 21, Dwarka, West Delhi",₹ 1200,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F669727%2Frestaurant020191119065717.jpg,https://www.eazydiner.com/delhi-ncr/poker-face-sector-21-dwarka-west-delhi-669727?deal_types[]=postpaid
New Town Cafe,"Hotel Park Plaza, Gurgaon",₹ 2000,Multicuisine,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111181%2Frestaurant220171009060057.jpg,https://www.eazydiner.com/delhi-ncr/new-town-cafe-hotel-park-plaza-sushant-lok-111181?deal_types[]=postpaid
YOU MEE,"Greater Kailash (GK) 2, South Delhi",₹ 2000,"Chinese,Japanese,Sushi,Thai,Pan Asian",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F652988%2Frestaurant320191115043500.jpg,https://www.eazydiner.com/delhi-ncr/you-mee-greater-kailash-gk-2-south-delhi-652988?deal_types[]=postpaid
Fabcafe by Fabindia,"Lajpat Nagar 3, South Delhi",₹ 1200,"Cafe,Healthy Food",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/group%2F5636%2Fmenu020210312053516.jpg,https://www.eazydiner.com/delhi-ncr/fab-cafe-lajpat-nagar-3-south-delhi-657718?deal_types[]=postpaid
Cafe Staywoke,"Sector 65, Gurgaon",₹ 1500,Cafe,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673314%2Frestaurant220210420103741.jpg,https://www.eazydiner.com/delhi-ncr/cafe-staywoke-sector-65-gurgaon-673314?deal_types[]=postpaid
Spice Art,"Crowne Plaza, Greater Noida",₹ 2500,North Indian,4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F670583%2Frestaurant520200213085406.jpg,https://www.eazydiner.com/delhi-ncr/spice-art-surajpur-noida-670583?deal_types[]=postpaid
Elma's Bakery,"Hauz Khas Village, South Delhi",₹ 2100,"European,Casual Eclectic",4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110173%2Frestaurant320170221114705.jpg,https://www.eazydiner.com/delhi-ncr/elmas-bakery-hauz-khas-village-110173?deal_types[]=postpaid
Branche Restaurant,"Golden Tulip Suites, Gurgaon",₹ 2200,Multicuisine,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F653070%2Frestaurant020180306070752.jpg,https://www.eazydiner.com/delhi-ncr/branche-restaurant-golden-tulip-suites-gurgaon-653070?deal_types[]=postpaid
Saundhee Potli,"Indirapuram, Ghaziabad",₹ 900,"Biryani,Chinese,Mughlai,North Indian",4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F670135%2Frestaurant220210224053938.jpeg,https://www.eazydiner.com/delhi-ncr/saundhee-potli-indirapuram-ghaziabad-670135?deal_types[]=postpaid
Zodiac- All Day Dining,"Fortune Inn Grazia, Noida",₹ 2400,"Indian,North Indian",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112133%2Frestaurant220180913045318.jpg,https://www.eazydiner.com/delhi-ncr/earthen-oven-fortune-inn-grazia-sector-27-112133?deal_types[]=postpaid
The Garden Terrace,"Maidens Hotel, New Delhi",₹ 2200,"Cafe,Fast Food,North Indian,Multicuisine,Asian,Continental",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111955%2Frestaurant020210727071439.jpg,https://www.eazydiner.com/delhi-ncr/the-garden-terrace-maidens-hotel-civil-lines-111955?deal_types[]=postpaid
Banjara,"Goldfinch Hotel, Faridabad",₹ 2000,Multicuisine,3.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F640090%2Frestaurant120210129093715.jpg,https://www.eazydiner.com/delhi-ncr/banjara-goldfinch-hotel-suraj-kund-640090?deal_types[]=postpaid
Latitude 28,"Khan Market, Central Delhi",₹ 900,Casual Eclectic,4.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110712%2Flatitude-01.jpg,https://www.eazydiner.com/delhi-ncr/latitude-28-khan-market-110712?deal_types[]=postpaid
Getafix,"Greater Kailash (GK) 1, South Delhi",₹ 1000,Multicuisine,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F612506%2Frestaurant020160301152649.jpg,https://www.eazydiner.com/delhi-ncr/getafix-greater-kailash-gk-1-south-delhi-612506?deal_types[]=postpaid
Fire N Ice,"Sector 10, Dwarka, West Delhi",₹ 1000,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F662311%2Frestaurant020190307132154.jpeg,https://www.eazydiner.com/delhi-ncr/fire-n-ice-sector-10-dwarka-west-delhi-662311?deal_types[]=postpaid
Edesia,"Crowne Plaza, Okhla",₹ 2800,Multicuisine,3.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111931%2Frestaurant220170817082413.jpg,https://www.eazydiner.com/delhi-ncr/edesia-crowne-plaza-okhla-phase-1-111931?deal_types[]=postpaid
VishalGarh Farms,"Sohna Road, Gurgaon",₹ 2400,Multicuisine,4.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673897%2Frestaurant020210817095049.jpg,https://www.eazydiner.com/delhi-ncr/vishalgarh-farms-sohna-road-gurgaon-673897?deal_types[]=prepaid
Promenade,"Park Plaza, Shahdara",₹ 1600,North Indian,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111431%2F6773_10-01.jpg,https://www.eazydiner.com/delhi-ncr/promenade-park-plaza-shahdara-delhi-111431?deal_types[]=postpaid
Empress Delhi,"Rajouri Garden, West Delhi",₹ 800,"Indian,Multicuisine",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F663048%2Frestaurant020190501132301.jpeg,https://www.eazydiner.com/delhi-ncr/empress-delhi-rajouri-garden-west-delhi-663048?deal_types[]=postpaid
Red Bricks Cafe,"Saidulajab, South Delhi",₹ 800,Cafe,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F668985%2Frestaurant420190916125849.jpg,https://www.eazydiner.com/delhi-ncr/red-bricks-cafe-saidulajab-south-delhi-668985?deal_types[]=postpaid
The Cavalry Bar,"Maidens Hotel, New Delhi",₹ 1200,"Finger Food,Cocktail Menu",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F113940%2Frestaurant020210727070346.jpg,https://www.eazydiner.com/delhi-ncr/the-cavalry-bar-maidens-hotel-civil-lines-113940?deal_types[]=postpaid
Citrus Cafe,"Lemon Tree Premier, New Delhi",₹ 2000,"Chinese,European,North Indian",1.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F113132%2Frestaurant120180809050510.jpg,https://www.eazydiner.com/delhi-ncr/citrus-cafe-lemon-tree-premier-igi-airport-113132?deal_types[]=postpaid
